DLyfKi8RL0;SxpGvPHAvF;D2u9gbbCZV;fy4fQ413fz;N5ywRWWdJQ;ANf1nD2u4e
rYgW  ;k fRFkJ e0spi;66;45;24;-2.19
dV  loz9v;RbYFf6;-93;13;22;7.01
2VW 0R JDgTRKuow m;6Dre ;-1;82;-30;-5.45
Q1JNW c5CW 6R;oxe Vg Q;-91;92;38;8.19
s b; 4w lt;-79;82;79;6.58
Gla54C wMbaozHSNE4;VlLXpvGi3;-60;-82;-3;-2.77
nuoyv15 7eJ;3qc MeE;-46;-82;68;-9.92
 Em6 Y LyB6e;6i ;98;30;15;1.86
u3 DcXt; R fZNk;-56;71;-56;0.03
  ;h VlCSZkn;-76;64;7;-5.52
 dyI0 GbpjpZV a;M  yhfWNy7J8TYi 7Li;-93;25;-52;-7.23
476aRaR eKHoTP9fbQYq;af;46;-59;-68;-0.88
 CggObo  1   e6Hj;PCj2 ;-97;21;82;0.49
9hi lq9jCZe;h0u ;-33;50;86;0.28
Dykya5ln3ew1jOpYAWHP;  aXIJ RIco;9;-71;-52;-5.92
X 55 okA ; q x F  R ;55;17;32;-2.2
V 8eNzVSFDIYA8 ;c6TvOc;97;-9;54;-9.85
7P;yKdzAr vfFm;-19;-12;82;4.43
 Yf4ZeUoIwAh2H;aZOUeLgYdv2 YKs lTyV;72;63;7;-1.37
np3G4V6CSy6 yHG5;W  CU;-8;-49;-34;6.89
d yn N  4iuQ Fm ;8FkJ8O vkdse  g   ;33;96;-55;-5.23
kt65NK WKF9;TcR3G 0gZm3T;-56;-17;-5;-7.02
hj3J GV Z ruSlIJTM;e  JOh6 H9 n ZKkjG;-6;18;-71;1.29
TIQD1OnQ ka Rcli78 ;7rX;-32;-72;-69;2.56
RMeD;r rAEtJ0 Ep56P 1aXx;-70;26;7;4.7
 R     a;z;46;91;80;3.24
DNS q AOJG C hm  ; k K;35;-30;-15;-8.92
RT0 4oIPDjWvx5aqA;r X7;-12;89;82;0.29
  Ng Jb;3jU ck;-91;56;-92;-4.41
Rsg    A;   ;-55;48;-91;-1.81
0jp  OmNz ; 8g xTnsI;-83;26;-64;5.79
qQscC  ;X 3C;-47;-63;24;-3.91
QXZmXinL1E;c neZei CDGSJ G j 0;-66;96;61;-0.36
n3G ; 74;-80;-36;45;-8.17
bCT7;V14AO yuFG  RUGzaD;35;-60;-77;-1.83
3RO kZ31NrFMER6l;n4ubh 21 ;-30;3;56;-2.11
2M Wy Z 39H G7; ;78;0;-35;-8.93
l;ykB  ;67;-2;43;-1.88
k wPwh;N Jemkfn  7ijh7 C;-45;46;17;5.15
J ySZuFB DzW2x; bE1 XiXpbW K46X;0;83;-51;-9.53
u6  9God4Mr5; 50R9 TW 69O9s;-55;-88;-51;-0.75
bw; nZMbk3f cu5;64;47;33;1.26
5tfGP  zm6lIyj;L r s  2 9 E  d ahkO;13;-79;34;2.97
oLzO02pop;Xa2t9GQuPSrUaks V;-15;91;12;9.64
jdl9 N xG j1mmh;l  c  PHUfG Q1T aaN;-51;89;22;-5.15
ajYOnp;ER H9v  nOxM6l GoF;-3;-59;76;5.78
3y N9LiWQ;XEOt m 9 N;-55;44;54;0.54
 5;Q 9EtDm yL   a;-29;-15;-85;3.54
Ifkc 6Y;NG;-14;1;-66;-1.42
aFt   bR;Zcp5F  n NL;-18;-76;64;-3.66
jRf;Z9 Xu qwud  K7 ie6 ;-25;-68;49;0.88
E6a UyiNd dx  ;Ybdx4lclh Yhu8a   d;0;-46;-92;-3.98
f0IsBW;c 4S I Ut;36;60;-68;-6.22
 0 E B M5 HVG; D  qu I  1 EY7g;70;-19;-14;3.59
nuA1XJ  W F;Y;26;-65;-47;-2.17
0aTCBuoL;Y 2dl7v qN  l6Q k;14;55;8;-7.87
qoplVKKB ;h  Hv5;-13;95;72;-0.62
s5RCS 3nST  c;L;-98;-4;82;-4.6
0aGdboN96;0H O K   pv1H7   ;84;-31;78;4.04
J; 2S8tBn  ;54;-42;88;3.98
Bq MSTp;x;-68;82;-88;1.52
g1 UJ ;VxT 54aa o  pGDw7;-58;78;-51;1.14
u3    uHbSRM; A0uv   G;-89;-7;4;-6.63
l;kp1   6;-30;-65;-71;3.31
U9 SKut R zJBF;rvuA B26y5 leX8 ;66;51;-17;-8.75
Lim zAfFSo v;3XC 6 oIjA4XtD4;53;-18;-51;2.84
G5e9P9U S; WJ 9;-34;-67;5;-6.52
g;B4pb P3DL XiJFpf;-97;-35;59;2.65
3 kx TO kv;MtRM Mobo   Q xi a;75;-56;-69;9.37
c eKq1 NTC Z1RR0;Fvg4WW  SoZC UwPE;71;52;25;-7.82
66T6d6iI5V j  V ; z  g;-19;86;100;-7.55
IKQt8ljdkJMAM d6J;q p;-83;-86;28;1.33
rRBrrs G02nYoTD4B Y5;cNlK c2vz1B4L;-32;-93;-33;-1.72
PH  vVavdS8 z FWg C ;f 91zZNiHUFSJclq m;37;22;-72;4.8
qcdd7Y  lG GEzd;58  H2WJUsGDCSG;-98;-44;43;-4.98
IaF8FDhgsz45C;n1  Ho  6J P65e;-10;-18;3;8.02
pPFKwFC2  HbTMkl ; hQK;1;27;33;5.44
bOgh5c rVszNIp09ujS1;N FIl Rys pOEpcBU;88;90;-87;-8.46
hd  cPokck q ;SZU T LhQS xlc 3ktP;11;61;-60;-2.78
 P fr WW ZJ9;4;52;19;-97;-8.33
DuicAzt ecnv Y ;6aLWMK va Z zZvI;74;76;-92;-5.42
3NgIy ij RfgQY E5; V0R1T Qk kml K;-66;-27;0;-2.07
SVK  yhjg;RT27okrO;-8;-77;68;-2.28
5;i;7;71;-76;-2.39
4L U43aJ4twOrimH;A UZ XQb7SA3GN;58;-31;45;1.48
KohIJhL8 Bl4oL7  8;N;-99;-47;-1;0.82
bTQtI m0d H;cf Gr vLXDvbs 9ELP;-79;23;-87;-4.1
0  l cErf tZT; 54bWTHPFfw k;-43;54;98;4.49
 t PMf f;PZ  DWvNBGI0 Aty;-34;79;56;5.36
u2;M yA J   VbR;95;-69;7;4.74
j DF  2pjFHJwqXGeF;R2   TL3Y;-28;72;22;-9.71
NxHM lPLOt7FEs  Px;rxZb 1FX23;66;0;92;-5.78
I0 Abwb ;914HK 28B1aMAuqw;7;25;58;5.9
468CiyJHa2m8KKx; gvTttFGKEbjHak Jh;-94;52;-5;8.34
B5w  y dnoe zMlYC a;W 0  MZcwY;26;-3;57;-7.16
FXj yN7k oqQNQt ;qJZrLIyyUx GPV;-14;41;-29;1.17
 vz b iQ  ;d7 0PDwA 8jHRg dDgMi;68;88;-60;-0.13
6eXaOsevfUe;hL1sw Imhdgfz K;68;26;-65;3.83
ZVw ;Nm 4Ls;-62;42;52;6.64
Keoq7fEe;Mz7Cq6O Q  N IGWk;-5;-71;21;-0.68
bie9 pPag;NlPhXf21  jYI5xUwwZp;12;-91;18;7.93
yfD0bGPY49lcl c7;d;-91;-47;-14;-3.05
0 Vl jiv1sp ; sE0P ;-9;83;-92;-5.1
YjKo5 g; WLD hll 9L i;-60;78;0;7.11
 jz;n2KyT k4Ae2;-85;47;-86;-2.23
jkGfnZT90 R0lObZC;GKpeDhXjZ;-90;33;-7;0.74
jlt z5 0FLKrH9dc; znfvlB9Ft0ADA n kq;-14;-88;66;4.02
pknvUqyHqaEsYXKh9P ;yA LKdu Xn DbpP 6;58;-29;92;3.17
XIZZx HFS f;At t6Cl1e;96;25;-11;-6.15
NfQ;tvu 6Ee ZV7Cc;-63;97;52;9.5
9YNhmz 2FM  ;DVooENEHG  O0cnkk;100;47;19;2.98
  k; dp;31;-13;-53;-1.47
htoA1Eo;HvAgV0s ;74;86;100;5.38
zyRCISZJ Nje;SoHstakr 0E;22;19;18;8.71
knB;RUg D  6tS LzcU5BZ;69;10;-5;5.82
wNj7uV03T;WnUi C ;-83;-67;69;-5.58
s2 ;ZG4Z;-88;-91;26;-1.34
N D tF2OJl; iHM t CVEYK tJE gV;81;4;-40;0.86
 5fA;LD0c03KWFm hp9;26;-98;25;-4.96
vxl c x9kh  sG;e07;87;84;60;-6.75
z;4Z9ssxagIRrciIf4Z;75;-64;89;-7.92
x Fo4F TLfL d19rpj;6f6  3Z9pA u1W4;61;100;-55;-0.22
upw;Zvzi ;-43;-86;-59;-5.99
  iaLrTC G XnpMnqdkC;Yzlj  ;67;99;-93;6.77
Flh;YuBVXSeK AvTLD;-15;46;-6;0.75
5m UX kYD8e u qZkp;MDgU iyM aju;90;-26;15;-8.1
L  Y Sit21 p;1uIGtEe  ;67;72;87;-0.25
 reLO2O Y    FUs hDx;LzU;24;97;-9;1.19
SEb1 8PRqgTfKDS;P;8;4;98;-2.05
Spb e CO DMH ; Z;41;9;-88;-8.65
T1nSY;A  1  K U;-83;-30;86;-8.76
soj5  ndzeto0;o b3cRO;6;-87;-7;-8.16
  fNuTU;ob    iZXwiUBp3  S  ;-47;3;-44;6.21
yOCn nRdh;n9V e;43;-85;-5;8.31
 Y rniU ;Qk86flx  faJDMzr5sg;67;48;80;5.53
j h gg6M;K7dVcHBSypn;2;20;98;8.5
  ;wu h9M  ykGh;5;-18;35;9.7
s;c CQVm3EN;44;-73;38;7.67
L 5eRlH3hVHR;CfLh5;-76;-61;59;7.08
zY;S9gzEFfLsuRcQHR;39;11;46;1.84
  SRnG;xs5 QuSmld6e Pp cr ;94;-61;80;-0.49
i9oNQ6wZ3TfP4Qu ;Lx fOyB vG 4  tqVFvq;59;-17;-72;2.94
hqYclgS u2;6QaqB ;-91;28;-12;4.32
rF ;eL C LXc1fv7ct Lz4D;34;-61;-43;6.71
yDQe ; R 9  ;55;8;51;-2.22
5 xQp;w7UFFc9H iyN;-25;96;-14;0.3
SJOTH  7dQ;C 0;44;74;32;-5.75
vgaYCbF;8MV7yny ;-77;-52;45;4.81
hvSFIl25pU 3TFgz  z;5;67;-35;-14;1.47
U9pA X4j1M  hVvSY2y; 0uErd06Zrv;74;-18;65;-9.07
 gLw6 C;H M9game LWsqFX;-95;44;19;-3.48
uzY3YK44 B ;9Q;-26;-34;70;4.87
m0oztQTTz kYa PJDo;gHgZ7;-34;-50;60;-6.0
u;FDRK uFTW ;-48;-23;-58;-7.55
8 kHGo L;7K;25;-97;-24;0.02
mOX51006LRs QIib;c;21;-50;59;-2.67
HKo HykoT uAsLW AWaz;A L9q ;-21;-71;-87;7.68
 W 9F v oYjWzK; NInLN04YllcMPvT;71;-53;-69;-0.71
HPhH p u 1 uW  ag;FFyw ;88;-59;64;6.45
KdWA0u;xM6r  eF NR xBLSeTF;-99;91;57;4.66
Rzpv q   g7R k22Xp7;Ux4FkrA F;0;-5;-73;-9.2
aUr m WGJ  ;altky RbNz B IEay  X;31;-62;27;-1.02
RtE u IC;wWGdN3Pi9 nM G7 ;34;-16;46;-9.15
3wwBqjyj8ov7t0G;VBm nUAD0uHV;91;52;-53;2.27
XqYZSok g;4 R;21;9;31;9.49
vRtt Bn;T  qklJEk cwNSMa ;72;-22;36;-1.37
n7TW n19;1TfX Q3;1;4;15;5.06
AL 7lp2tb7DtXDmT;qg t;-54;90;-39;7.58
vGKeNXU6Idnu;HXHXR f;82;80;-57;8.03
Q 7V 00Y;zd9VX6lA6Y5e8;-7;-12;32;-4.18
ro  8F;ku8LO3biBK;71;36;-46;0.89
XV6PQVw4s 7;T 2u;100;73;19;6.46
7zFwGS0 z6 nkV bNQ;Yun4o 2J4NgF Ck;-33;-96;49;2.38
O  dot53;ZdBdm;-16;-54;-67;1.05
G hqKck tzj;kqAlMjyW1BN ;-58;54;45;4.46
hH E bpMCZVzKI;0m 0ruQXH 3 XcG;66;-24;2;8.87
K cm I0L6QXU3Cn EUXh;9 Z ;93;-56;51;6.08
DW eSZ c3FQ OsLaq;  24;34;-69;-23;9.54
qAVLSv  S;YrX;85;54;65;-5.64
pV0 dsm xAU Cx;I 3J V fNDl1qtSjz  n;-81;38;34;7.58
7L5;V43tP1G98ehoCc7uAX;-6;55;82;1.78
s6b3G  y;HiIS ;13;73;-84;3.53
I  ;1nQtVY  PO;-51;-9;-96;7.36
 8 x HgrPSH;a;-51;-79;-82;3.34
8; IDkL A q bUmquEwA;16;86;19;6.75
w73F7 u;PR7fnRl;-3;-59;-17;0.05
 V whdTqKgJME6XBwYN;M mHO ;-40;-65;64;2.57
So7cQaCLRK 8aWuoa 7R;jPZhVeVx;26;-83;-67;1.57
Kp;GE i;-98;27;-44;-2.17
w qOJ ZW0 qoIFQ9cdp ;tiE9QHF k3 Zhqzve kq;87;89;52;2.71
VoMkow17 UG8hU3;iWGP9PnQR;-40;52;33;-2.18
 32EcEycNvPZaI;m  95M70eQ;-51;89;13;-8.68
ywigWkS; C 5 X3 JHo2A;92;78;31;1.54
kt V XqBEr5;AODZUl 4CXw 7P10 a;-63;-50;69;-7.92
lg  jB q7Y8dDRf0pk;g9bGmaYv;98;-34;14;4.6
GpTpQ Vevh ;Db9;-19;-8;-95;1.77
 l F wc; Vx ;-73;49;-80;-7.45
O H uTbtUxIPr;8yMr6;-46;30;41;-6.69
O;4vo L VuK QMpmxhUR  ;66;35;75;6.81
 LD  nq3 ik9GXW;wI  kr8DB;-54;46;14;9.22
jMvz DOO EYE;78K  vnvfCiOdjyxX;65;-34;-20;2.42
3 ZM ;i2 ywjaa9K5;-30;-46;23;-0.82
n44R34  s kV 3dHtwo;c0   7ebr;-61;57;90;-4.3
Gdiu; gVmx XGjP c;-11;-21;49;6.81
 8hRqw;EpUuQ WQXUBk H xSE12;-87;55;-1;6.79
   4 tJX lbWaijvoY;T qfdO;-35;-79;-39;-8.35
LYWx1O   ssE M;JM j Hp 5NuM ;36;-27;-4;1.8
VrYVHUhALt TOMvPh1 x;pVyp;46;-59;54;5.55
zzkjY2 5KFN SL uuI;S10a5  23 4 W;-96;-94;4;8.64
X6Cv7; A b91 u   YVc;-38;-26;29;-3.91
rmDtIg ok;J5ZY   Cly  yR;-12;45;-9;-9.17
PKQ0SIN L5Gio1Kj1gP; gk EYaMYO  T fV;-61;-5;-11;0.3
AmL8w0yx ;8awCE am0 aiM4SwQA;-89;13;-76;-5.16
LHpW q ;Jy E1  j 7JMOcXxe  ;60;-98;54;2.45
 a  E6  Iz;u;-2;-8;5;5.74
CJCM Labx Kxv ;9;39;-31;-45;2.24
 zOJ wo9 E ;Q8N IW W;-55;82;8;4.84
O;K    3 q 9Ugl;71;-100;68;8.73
ZD;yK255c;-67;60;-81;0.73
 4ys Ryi7  4 b AJ ;Fzpe 8r;-62;-1;-76;-4.53
feGTVaKCY d B dFd1;Z2C1n4qPS2Sf eNK1;-30;-26;-44;5.0
M slRmbG;lU nqHqDfvD5;62;-97;54;3.17
zj;SXAqA ;-38;-8;-44;-3.36
j O5r   ozt6GY ;6eCY9 n;18;-54;-39;-1.03
iuFOjP  GIF 0 k;fddn9eyl;-41;-71;46;-6.12
 fXBV68kaR;62mh 1fy t D ;-4;98;0;-2.59
MzHc7;tT4pwSXWSyNuut  2 ;-16;83;9;1.36
g tH  J8w N5PB9;2UkcUm12JDP1;-10;-38;-74;-3.44
GZuxlHe;s8xHqS;42;-57;-2;3.18
a;H ;96;39;21;-4.8
I y5j Ok ;wwoAK0Kqwe V;-39;62;-92;-1.2
rJA 8 CE1oGpXTp;3T2Q;-70;-41;-12;-5.47
S8 3 QFtFxVq;r9e w2o;-23;-45;-68;0.38
bd uR;YUZ0VDToeJJSWm2;52;68;86;0.64
I8HZ O   kgkfJ  ;YbB BeOxz6DM;-59;3;36;5.3
 J35HDa; qU si;23;45;21;-4.85
FyW VI N8 X5kTpv;ZmsoEIfqJP;-21;-19;-92;2.95
JBL7SA ;kvwyfLk;-93;66;39;8.67
9EB0d; gAxd  8Qkd;-29;39;99;8.61
2j  i;fXg p0x EeBK;-83;-93;74;8.63
3PkLzLZfEAh;aBQG fhE4;39;-73;-28;4.72
aQa uJ6YXDcg7ot9;p0LC nD;-51;-76;-29;5.6
hL zw5G   mxtF Bkw;qKzC RAAkYWvPB;18;-15;-11;4.7
t01j;4LLIWIEG0Ap e;-28;62;88;5.79
Z mTelQxsF9L9v ;mI3T4Nnzg1H 3 Zgxlon;36;-66;-51;-7.33
wz;S 4lVdZq  62cTGDkc;-64;-54;-23;0.83
mYQNcR j 9 oi H   ; DLrSfe   wr;-69;94;-23;6.13
zo2a q ;c hQ LD B f q o R;-51;-16;-20;2.0
 GKxt g;4 ;-42;-59;-27;-4.2
 Iem; Irn1;43;-37;32;-6.01
M CG ;g ;-65;89;29;2.05
xuCS17uq ;9y8E5Vv  T2 2;-67;-8;-17;-6.38
53n0 b94qy;Y9OQAi ;39;39;-81;-5.8
  ;M9MTv WWUuB ;-27;-50;-44;-8.66
7BrDUgr9ewlqObGZ ;   Q 3  W;-22;-91;27;-4.88
F qa  QN4hBlLr z; Xq 8G ICmFg u0S4g;-16;64;11;6.68
sv933 vd; Wtp;88;-36;-71;9.77
oVA;l t79 HToM6X P;23;-63;65;-7.37
Dn UMSJjynYMlO KahVy;3I1SuQcxDr5 lR e;75;-18;-61;-1.1
HKzhflMpP7WSsHTn  ;ud 2WL  8OJwpj jA   ;-34;-10;66;-7.47
 N5G fHTc    SgEjRj;MgHjiMk7d BQ ;86;82;48;2.19
TFJ4YwI8eq8m  q48f; NB3c 6h49Z3jk4oH  w;10;11;-65;1.5
h b  3  z   ;9V7t17 L;-49;41;75;9.27
bsB c;0Dou 3R8vhp;-31;53;23;7.96
P1;J qI0B glN;-17;99;49;9.97
  Hf YIzx;F;17;50;-52;-5.92
ief y;5ZKo Ga5QOK;48;-57;83;1.0
c yh4Df iL XDaX ;n3d;42;-44;-68;-3.79
zKVgohp7I j  F; q0O5VcXt;57;5;35;-3.61
Gl9UR hvoYeH ;0p 183t fCAN3N;82;11;-14;0.26
ya6Hc;b  ;80;2;40;-8.23
2gcI  hX;Yuu GGCIm w 2j;70;51;90;8.52
Um5U HJDP;XCdXJ 8U ;-53;-69;-89;1.63
yglHv40CoU3KsetiO;  HqC;16;-100;89;9.15
4RN ;FVh s8r WIn;41;74;26;-0.67
L EJgYJ;xA h vQLINlL;45;-15;99;-2.78
bj x8WV5vnQ;Xm S;32;-90;26;-9.69
 h;0 a2ymF7Rx ;-59;-24;-16;-2.72
90pk DDq8iVxfo2e;Q  s1V5KoS s;17;8;63;-2.66
HRKQQ1a 8POn 5So S;h m 4hGMm4VA;-24;18;18;3.83
4k  GWP;Q vcHY ;17;-7;-78;-0.32
m N yB d U52Pb;zr y usS  ap 7c;11;100;9;-5.11
9K6ZhazP;Z c AMz  sP4RW  T ;-62;30;90;8.51
2i1hTe; W J4NR k RLo Kqo2oE;20;5;-64;-3.13
vG2s8fbT8LEp3Yk24M;h hA7;-5;77;-97;7.13
  ;E ;-80;12;3;7.64
 b;MaMdyV Hb;32;-29;38;-3.76
 1Vcs g 4niEH;Iok  hqBE;88;75;1;-7.57
Rs;cx8 hQC1xe ZVV2 J;24;31;-79;-6.27
f O;1qSSOT6aJ  k60;84;16;86;9.16
Em R xo ;EgNZo Yd56 o 7 j 911;-25;39;49;0.93
18  b Sv7;yWN P9 PJm ;-77;47;-3;-0.95
p;eU3b;-8;83;2;7.32
mM Dany 7;p;-90;90;79;-4.8
n  aXlC WFvX 6E;c  Lhlr I g  jrM5;-91;-22;12;-4.89
xmLE g hY Fie x8t3;yRnrjBE f6Yn;-48;-66;-40;-6.09
   ;34WwtDphKART3c2 F Uc;14;-45;92;2.47
hzA9EH bB l8H;MdGyz 1aNBKgoHOI9MX;13;81;-13;4.34
x;bkZuibknxivI  cGjQW ;88;-24;83;-0.74
A l; 5;79;76;48;-7.79
3 r 0 ;z7  YWKPM;-59;-31;86;7.57
0x;IZyA1EYL RHTji   Bsl;-89;-36;5;-5.44
Dx; h6  LD40RtDbp Tj1;-8;39;-24;-4.47
iTGAa1 l 7;i 9iPsd NS   mu KLs;20;-99;74;-1.15
BKCVAlAb aN2N9Qx;   ;17;-57;-86;3.68
IPRYX K vM;mnpn2nhmy68T u ;92;3;70;-8.11
 II4Y AwGKWv Y;RNS;65;19;-71;8.46
rA db;j nA48jQsIHR KZhqu;-43;-62;-21;0.8
LUR B m fS0mL 4sZy; khCLC6U;43;-19;19;6.88
FS pKtivb7vp 1t;1EVVJ bb  P PLvKG ;49;-91;41;7.48
BAhx 8A 4LAoQJY 0 o;U9uar  p ;5;75;-37;-6.2
 rviRbO I7WPg; ZEwv p ;-18;-82;-49;-3.53
sFpu lPr8;qB uSgQ T2CH bwCUMVF;58;68;64;3.45
sd 86Jc vJ snjYhPu; hZ9m4 of  8g;57;-39;22;-6.37
 idxnL3DixtSt6G;CZsP ;-37;-63;35;-7.83
2UJ48YQ 1MTb ;RHrBP VnFB5EWbe9 R;-94;-48;37;-0.26
jO6D mc966;z0yBBvILyk nbtY5 UgT;81;27;70;-0.42
  O;Rk HOiwD AiPzto;19;-72;39;2.12
nl 3pEbqiA 2Rk s7l; Uk2X   Bpy tt;-53;49;32;1.46
Q V5p jx; M2 AGZsuiNVjIpxSh;61;-16;46;-6.11
tUMyH wZF94T; 3 BSH 2m7J7   l9fu ;-22;-2;-53;-5.03
EHdGKaKa  WEczP   v;RO4o kprrR3HF  htV;-77;-4;11;-3.58
nMN8IX IR; DphT p ZFAdQxlZ ;98;97;78;-0.88
E a lj4d XGK  M ju;xHP9 ;-99;64;-17;-1.51
7qko8EqNcdUTl;q ZldwVLBaBq2;-41;-16;51;-3.59
0RlbD JIsQKY;C z 0l ZSum2 G;-68;98;38;-8.81
A0 a dN 1J BVq;uTytO  Q8iQjQ areJ;60;75;15;4.68
 xzks 7qW tOJ pZ w;DyVIEEC2M O4A egM ;82;18;19;7.48
0 2 t 9Wp vT bceE 3E;4;53;71;-80;-1.48
qIiTJRK  goZDG8; LWW6 u2 l50xwulTj;95;41;-26;5.08
V wMAPwMLs1qUDg O;o rW nXxJeiD;89;65;-62;2.3
Yr G p eB 6 ;OR i K 0Z1E bwhoE t;-87;-30;-16;9.01
 K ZiOUfw1k f gISJ ;l;-19;-31;57;7.04
8guL4yNwkT 5;AcT4 BmYh A C6z;56;-97;-42;6.84
 o;2K v3emB EYJ;-74;0;-16;8.7
 5sSVhQ;  w  ifI 7R7;-31;49;-65;-3.83
jBiR yNh W;Eu   7lM2pG AoiF d9d;-49;48;-83;5.86
nnNwz;1ZyqR;87;-21;98;3.31
 DOgs 19H7    RSjE;pY;-49;12;-3;-0.1
19LJpap1 ;kla;-35;8;-55;9.39
j;  7IEeUaq viP;25;-11;-16;-3.68
 r5a8oxABF KXe;APP afi  4  g  0x  m;99;52;100;9.93
X 3Sf;Ho k0 ;-44;85;-45;3.55
G9RO4XN92P;X d;-31;60;90;-8.79
o y TRVY1MT ; PC a a3 Y ;-45;-64;28;5.62
JNFnreNvw;N 9TI;26;72;30;2.95
 5t;VB8 i yj4 3Oru;60;-29;-13;-4.77
 G g k i P ;R s;-96;49;-62;-3.24
VaS IaPg4j5;eYF fdB36x ;-15;-15;75;0.95
 k RuaknVks;QB g uXV;-91;44;-34;8.31
z;1u;-8;13;-14;9.45
4N D Y3ZTyDne;zS;-48;61;31;-7.79
Y Gp03Bb b gU; xIsf NDj ol;-55;36;92;4.62
vAKPa J2uo  3l; 4;7;5;51;-0.94
cS  GBzAnA;y9RdFOcezY 6cQ H;-59;-39;24;4.83
plq7xpj0F u2r66;X8R9mJ Ml1m  HX;58;10;29;-5.69
Uk5    UYWssZ;V8nF8q;92;73;2;8.89
 ;7JhiRWo zJl ;-43;-33;-95;1.03
 Ni1 qFogrtWea;i wzj143;41;-95;-94;3.1
EL  aHiXady 3  9GnxG;5F25V WL5yscQ;94;43;60;2.75
TX;T 3EPYiyFUJ;85;94;-57;-1.26
dKM  j G pQfrd WI1;doB;24;-84;51;-6.62
hlgX;y0RWP TY0NM TJM 3 ;90;99;-93;1.71
wlf  t 5g ;hf4svUOLpgCKQF;64;85;0;-9.55
 Tvd4rBlJTS;g wmMY;46;64;-39;5.68
  OJp4NS B16r2B6;2D JCqufPifk2 r;3;-13;100;5.01
7HV UIBOg ruIY;Bc8VuNmZZC9o5n7;-22;-60;70;0.91
XbokSp;qOL 69F  F;-36;43;-42;-8.62
NnzLcoXUGqZX53Q  J ;R6H;7;3;33;3.13
oRrW AxMh4 xnh9Xx7D; oMv4TzlvPjcrqphx;-91;-92;-69;1.24
 s R;  o;-96;98;-68;3.59
  ZSN ;L SJmji j  F9 nOD9r;-96;30;-84;6.04
 vJ7yOWBSPgqc 9XZ 3;M8LJ9qBxzo2w;-71;47;45;1.08
A 9YHSvaxoHcsmT 2qMs;D8UoowSSLWRb7Fo 3g ;-28;-93;-28;5.15
3TF8R;U sMX 4Iak;46;10;-98;7.07
I;Qo L W x3EZP ;-84;-35;20;-4.8
  ;G QyaOOaow09YmLgZ ;-55;10;47;-4.77
a; G7 ;88;-55;-32;8.24
P o;Q  1e;-72;79;21;0.37
ND1  f Wg;onaKm DrHV H iq9 ;4;2;-13;-5.11
BAweOxr l3U1pQ4 r;Dd;-91;70;-95;5.4
Lc598SML 3vQvKVy I;JT H YL4l;76;63;-81;-8.7
Dc a5l00bNEGRR6 boRJ;FvD5t9   P 5qp;-61;50;11;-4.6
O6BHgv  3zYz IT;Nv y7Nv;-28;82;9;-7.49
 4d54QWYqtz ; tq Zq;38;-17;-77;2.61
88Kd6MfGU3x3 i6BghPR;F1;-33;2;-39;-1.73
0 vFOjcR0eFRB Wkr Na;VFrS3 O  UAE;23;-66;25;-7.33
 ;GMfYCkkVUg5ZsY;31;84;-36;6.02
p;qT7I3VXMRQqE5W t no;4;31;72;-0.5
 bXN g  Es0o;F4YQYe;100;76;26;7.64
t9sX;xxftzg4x  t6 Zb;6;61;-69;-1.62
